facility_name	street_address_1	street_address_2	city	state	ZIP	tel	fax
Warroad Station	502 State Avenue South, Highway 11		Warroad	MN	56763	(218) 386-1802	(218) 386-3027
Gulfport Station	10400 Larkin-Smith Drive		Gulfport	MS	39503	(228) 896-0884	(228) 896-8209
Eureka Station	7695 Airport Road		Eureka	MT	59917	(406) 889-9081	(406) 889-9009
Havre Station	345 16th Avenue West		Havre	MT	59501	(406) 395-6100	(406) 395-6190
Malta Station	47152 U.S. Highway 2		Malta	MT	59538	(406) 654-2711	(406) 654-1832
Plentywood Station	31 Highway 16 North		Plentywood	MT	59254	(406) 765-1852	(406) 765-1448
Scobey Station	131C Highway 5 East		Scobey	MT	59263	(406) 487-2621	(406) 487-2763
St. Mary Station	4999 U.S. Highway 89		Babb	MT	59411	(406) 732-5982	(406) 732-5984
Sweetgrass Station	37 Nine Mile Road		Sunburst	MT	59482	(406) 937-8800	(406) 937-8891
Whitefish Station	1335 Highway 93 West		Whitefish	MT	59937	(406) 862-2561	(406) 862-2599
Alamogordo Station	1997 Highway 54 South		Alamogordo	NM	88310-7377	(575) 812-6840	(575) 434-5937
Albuquerque Station	2301 Yale Boulevard SE, Suite A-9		Albuquerque	NM	87119	(505) 346-6962	(505) 346-6966
Deming Station	3300 J Street		Deming	NM	88030-7146	(575) 544-6100	(575) 544-6199
Las Cruces Station	3120 North Main Street		Las Cruces	NM	88001-1162	(575) 528-6600	(575) 527-6897
Lordsburg Station	26 Pipeline Road		Lordsburg	NM	88045-1231	(575) 542-6000	(575) 542-8911
Santa Teresa Station	1005 NM Highway 9		Santa Teresa	NM	88008	(575) 874-6800	(575) 589-4972
Truth or Consequences Station	Mile Post 82, I-25 North		Truth or Consequences	NM	87901	(575) 744-5235	(575) 744-5029
Buffalo Station	600 Colvin Woods Parkway		Tonawanda	NY	14150	(716) 862-7000	(716) 838-4534
Burke Station	5165 State Route 11		Burke	NY	12917	(518) 483-5941	(518) 483-3592
Champlain Station	1969 Ridge Road		Champlain	NY	12919	(518) 298-2531	(518) 298-4805
Massena Station	135 Trippany Road		Massena	NY	13662	(315) 769-2342	(315) 764-5727
Niagara Falls Station	1708 Lafayette Avenue		Niagara Falls	NY	14305	(716) 285-6444	(716) 285-6460
Ogdensburg Station	127 North Water Street		Ogdensburg	NY	13669	(315) 393-1150	(315) 393-9204
Oswego Station	19 East Schuyler Street		Oswego	NY	13126	(315) 342-7017	(315) 342-7639
Rochester Station	171 Pattonwood Drive		Rochester	NY	14617	(585) 266-2802	(585) 266-5772
Wellesley Island Station	45864 Landon Road		Wellesley Island	NY	13640	(315) 482-7556	(315) 482-5740
Bottineau Station	1235 11th Street East		Bottineau	ND	58318	(701) 228-3179	(701) 228-2653
Grand Forks Station	1816 17th Street NE		Grand Forks	ND	58203	(701) 772-3056	(701) 775-8358
Portal Station	500 2nd Avenue East		Portal	ND	58772	(701) 926-7570	(701) 926-7592
Sandusky Bay Station	709 SE Catawba Road		Port Clinton	OH	43452	(419) 732-4400	(419) 732-4480
Erie Station	7851 Traut Drive		Fairview	PA	16415	(814) 474-4700	(814) 474-4540
Ramey Station	722 Belt Street		Aguadilla	PR	603	(787) 890-4747	(787) 882-3541
Abilene Station	1945 Industrial Blvd		Abilene	TX	79602	(325) 698-5552	(325) 698-7106
Alpine Station	3003 West Highway 90		Alpine	TX	79831	(432) 837-6100	(432) 837-2780
Amarillo Sub-Station	8601 East Amarillo Boulevard		Amarillo	TX	79105	(806) 373-8926	(803) 373-4435
Big Bend Sub-Station	Big Bend National Park		Big Bend National Park	TX	79834	(432) 477-2287	(432) 477-2273
Brackettville Station	802 West Spring Street		Brackettville	TX	78832	(830) 563-6000	(830) 563-6075
Brownsville Station	940 North FM 511		Olmito	TX	78575	(956) 983-1100	(956) 350-4243
Carrizo Springs Station	1868 Highway 85 East		Carrizo Springs	TX	78834	(830) 876-1453	(830) 876-9515
Clint Station	13400 Alameda Avenue		Clint	TX	79836	(915) 872-4100	(915) 872-4297
Comstock Station	27685 Highway 90 West		Comstock	TX	78837	(432) 292-4600	(432) 292-4601
Corpus Christi Station	9149 State Highway 44		Corpus Christi	TX	78406	(361) 879-4300	(361) 879-4471
Cotulla Station	3423 Interstate Highway 35		Cotulla	TX	78014	(210) 242-1600	(210) 242-1660
Dallas Station	2800 South Pipeline Road		Euless	TX	76040	(817) 571-2146	(817) 571-1653
Del Rio Station	2300 Highway 90 East		Del Rio	TX	78840	(830) 778-3000	(830) 778-3495
Eagle Pass South Station	4156 El Indio Highway		Eagle Pass	TX	78852	(830) 752-3300	(830) 757-4457
Eagle Pass Station	2285 Del Rio Boulevard		Eagle Pass	TX	78852	(830) 758-4000	(830) 758-4049
El Paso Station	9201 Gateway South Boulevard		El Paso	TX	79924	(915) 585-1924	(915) 585-6640
Falfurrias Station	933 County Road 300		Falfurrias	TX	78355	(361) 325-7000	(361) 325-7103
Fort Brown Station	3305 South Expressway 83		Brownsville	TX	78521	(956) 983-7100	(956) 983-7174
Fort Hancock Station	828 South Highway 1088		Fort Hancock	TX	79839	(915) 769-1700	(915) 769-1327
Fort Stockton Station	1801 Front Street		Fort Stockton	TX	79735	(432) 336-2468	(432) 336-6418
Freer Station	5087 Highway 44		Freer	TX	78357	(361) 698-5400	(361) 394-5690
Harlingen Station	3902 South Expressway 77		Harlingen	TX	78552	(956) 366-3000	(956) 366-3001
Hebbronville Station	34 East Highway 359		Hebbronville	TX	78361	(361) 886-1700	(361) 527-3409
Kingsville Station	2422 East Senator Carlos Truan Boulevard		Kingsville	TX	78363	(361) 595-8700	(361) 221-9821
Laredo North Station	11119 McPherson Road		Laredo	TX	78045	(956) 764-3800	(956) 764-3870
Laredo South Station	9001 San Dario Avenue		Laredo	TX	78045	(956) 764-3600	(956) 764-3653
Laredo West Station	202 State Highway 255		Laredo	TX	78045	(956) 417-2100	(956) 417-2191
Lubbock Station	1205 Texas Avenue		Lubbock	TX	79401	(806) 472-7355	(806) 472-7393
Marfa Station	717 South Highland		Marfa	TX	79843	(432) 729-5600	(432) 729-4690
McAllen Station	3000 West Military Highway		McAllen	TX	78503	(956) 217-3700	(956) 686-4609
Midland Station	2800A LaForce Boulevard		Midland	TX	79711	(432) 561-8911	(432) 561-9106
Pecos Station	300 East Palmer Street		Pecos	TX	79772	(432) 447-4813	(432) 447-4514
Presidio Station	Highways 170 and 67		Presidio	TX	79845	(432) 229-3330	(432) 229-3893
Rio Grande City Station	730 Border Patrol Lane		Rio Grande City	TX	78582	(956) 487-1044	(956) 487-1059
Rocksprings Station	605 West Main Street		Rocksprings	TX	78880	(830) 683-2255	(830) 683-5231
San Angelo Station	8210 Hangar Road		San Angelo	TX	76904	(325) 949-0139	(325) 942-1542
San Antonio Station	5000 NW Industrial Drive		San Antonio	TX	78238	(210) 521-7926	(210) 472-4213
Sanderson Station	Highway 90 West		Sanderson	TX	79848	(432) 345-2972	(432) 345-2609
Sierra Blanca Station	900 Aztec Drive		Sierra Blanca	TX	79851	(915) 369-4000	(915) 369-4110
Uvalde Station	30 Industrial Park		Uvalde	TX	78801	(830) 486-7600	(830) 278-6425
Van Horn Station	500 Laurel Street		Van Horn	TX	79855	(432) 283-3100	(432) 283-3196
Weslaco Station	1501 East Expressway 83		Weslaco	TX	78559	(956) 647-8800	(956) 969-8252
Ysleta Station	12245 Pine Springs Drive		El Paso	TX	79936-7828	(915) 435-1100	(915) 834-8595
Zapata Station	105 Kennedy Street		Zapata	TX	78076	(956) 519-5600	(956) 519-5626
Beecher Falls Station	1429 Vermont Route 253		Beecher Falls	VT	5902	(802) 266-3035	(802) 266-7202
Newport Station	145 Citizens Road		Newport	VT	5855	(802) 334-7903	(802) 334-5893
Richford Station	1668 St. Albans Road		Richford	VT	5476	(802) 848-3434	(802) 848-3041
Swanton Station	62 Airport Road		Swanton	VT	5488	(802) 868-3220	(802) 868-2434
Bellingham Station	1431 Sunset Avenue		Ferndale	WA	98248-8914	(360) 380-0408	(360) 380-0199
Blaine Station	1580 H Street		Blaine	WA	98230-9114	(360) 332-1721	(360) 332-6232
Colville Station	200 Buena Vista Drive		Colville	WA	99114	(509) 684-6272	(509) 684-1206
Curlew Station	5 Forest Lane		Curlew	WA	99118	(509) 779-4376	(509) 779-4539
Metaline Falls Station	105 Highway 31		Metaline	WA	99152	(509) 446-1037	(509) 446-1036
Oroville Station	21 Shirley Road		Oroville	WA	98844	(509) 476-3622	(509) 476-2525
Port Angeles Station	110 South Penn Street		Port Angeles	WA	98362	(360) 565-7300	(360) 565-7325
Sumas Station	9648 Garrison Road		Sumas	WA	98295	(360) 988-5520	(360) 988-2095
